21530,#a335ee,Gamaschen mit Onyxeinbettung ,
21324,#0070dd,Gelber Qirajiresonanzkristall ,
21622,#a335ee,Geschärfter Silithidenknochen ,
21242,#a335ee,Gesegnete Qirajikriegsaxt ,
21272,#a335ee,Gesegnete Qirajimuskete ,
21273,#a335ee,Gesegneter Akolytenstab der Qiraji ,
21268,#a335ee,Gesegneter Qirajikriegshammer ,
21244,#a335ee,Gesegneter Qirajipugio ,
21269,#a335ee,Gesegneter Qirajischild ,
21275,#a335ee,Gesegneter Weissagungsstab der Qiraji ,
21838,#a335ee,Gewand des königlichen Aufstiegs ,
21582,#a335ee,Griff des alten Gottes ,
21607,#a335ee,Griff des gefallenen Imperators ,
21323,#0070dd,Grüner Qirajiresonanzkristall ,
22399,#a335ee,Götze der Gesundheit ,
21586,#a335ee,Gürtel der endlosen Pein ,
21606,#a335ee,Gürtel des gefallenen Imperators ,
21678,#a335ee,Halskette der Reinheit ,
21703,#a335ee,Hammer von Ji´zhi ,
21708,#a335ee,Handgelenksschützer aus Käferschuppen ,
21618,#a335ee,Handgelenksschützer des Schwarmbauentweihers ,
21672,#a335ee,Handschuhe der Vollstreckung ,
21889,#a335ee,Handschuhe der widerrufenen Prophezeiung ,
21619,#a335ee,Handschuhe des Messias ,
21888,#a335ee,Handschuhe des Unsterblichen ,
21605,#a335ee,Handschuhe des verborgenen Tempels ,
21689,#a335ee,Handschuhe von Ebru ,
20931,#a335ee,Haut des großen Sandwurms ,
21616,#a335ee,Huhurans Stachel ,
20933,#a335ee,Hülle des alten Gottes ,
21232,#a335ee,Imperiale Qirajiwaffe ,
21237,#a335ee,Imperiales Qirajiinsigne ,
23570,#a335ee,Jom Gabbar ,
21679,#a335ee,Kalimdors Rache ,
20929,#a335ee,Knochenpanzer des alten Gottes ,
21669,#a335ee,Kriecherrankenhelm ,
21837,#a335ee,Kriegshammer des Anubisath ,
21598,#a335ee,Königlicher Qirajigürtel ,
21597,#a335ee,Königliches Szepter von Vek´lor ,
23557,#a335ee,Larve des großen Wurms ,
22732,#a335ee,Mal von C´Thun ,
21665,#a335ee,Mantel der boshaften Rache ,
21686,#a335ee,Mantel der inneren Kraft ,
21683,#a335ee,Mantel des Wüstenfeldzugs ,
21684,#a335ee,Mantel des Wüstenzorns ,
21856,#a335ee,Neretzek der Bluttrinker ,
20927,#a335ee,Ouros intakte Haut ,
23558,#a335ee,Panzer des Wühlers ,
22222,#0070dd,Pläne: Dicke Obsidianbrustplatte ,
21520,#a335ee,Ravencrests Vermächtnis ,
21025,#a335ee,Rezept: Dirges abgefahrene Chimaerokkoteletts ,
21596,#a335ee,Ring des Göttertöters ,
21601,#a335ee,Ring des Imperators Vek´lor ,
21620,#a335ee,Ring des Märtyrers ,
21677,#a335ee,Ring des Qirajizorns ,
21681,#a335ee,Ring des Verschlungenen ,
21709,#a335ee,Ring des gefallenen Gottes ,
21707,#a335ee,Ring des wirren Gedankens ,
21836,#a335ee,Ritssyns Ring des Chaos ,
21671,#a335ee,Roben der Schlachtwache ,
21696,#a335ee,Roben des Dreigestirns ,
21663,#a335ee,Roben des Schutzheiligen ,
21321,#0070dd,Roter Qirajiresonanzkristall ,
21521,#a335ee,Runenschwert des Roten ,
21666,#a335ee,Sarturas Macht ,
21626,#a335ee,Schleimbeschichtete Gamaschen ,
21639,#a335ee,Schulterstücke des Unerbittlichen ,
21668,#a335ee,Schuppengamaschen des Qirajizorns ,
21651,#a335ee,Schuppengamaschen des Sandhäschers ,
21522,#a335ee,Shadowsongs Kummer ,
21673,#a335ee,Silithidenklaue ,
21625,#a335ee,Skarabäusbrosche ,
21699,#a335ee,Sperrfeuerschultern ,
21891,#a335ee,Splitter des gefallenen Sterns ,
21128,#a335ee,Stab der Qirajipropheten ,
22734,#ff8000,Stabfuß von Atiesh ,
21664,#a335ee,Stachelhalsreif ,
21126,#a335ee,Stich des Todes ,
21600,#a335ee,Stiefel der göttlichen Erscheinung ,
21704,#a335ee,Stiefel der widerrufenen Prophezeiung ,
21645,#a335ee,Stiefel des Schwarmbaugräbers ,
21688,#a335ee,Stiefel des gefallenen Helden ,
21705,#a335ee,Stiefel des gefallenen Propheten ,
21706,#a335ee,Stiefel des standhaften Willens ,
21581,#a335ee,Stulpen der Vernichtung ,
21585,#a335ee,Stulpen der dunklen Stürme ,
21674,#a335ee,Stulpen der festen Entschlossenheit ,
21623,#a335ee,Stulpen des rechtschaffenen Champions ,
21624,#a335ee,Stulpen von Kalimdor ,
21839,#a335ee,Szepter des falschen Propheten ,
22396,#a335ee,Totem des Lebens ,
21692,#a335ee,Triadengurt ,
21517,#a335ee,Turban der gnomischen Superpsychokräfte ,
21687,#a335ee,Ukkos Ring der Dunkelheit ,
21583,#a335ee,Umhang der Klarsicht ,
21627,#a335ee,Umhang der ungelüfteten Geheimnisse ,
22731,#a335ee,Umhang des Verschlungenen ,
21701,#a335ee,Umhang des geballten Hasses ,
21710,#a335ee,Umhang des gefallenen Gottes ,
21621,#a335ee,Umhang des goldenen Schwarms ,
21650,#a335ee,Uralter Qirajizerfetzer ,
20930,#a335ee,Vek´lors Diadem ,
21599,#a335ee,Vek´lors Handschuhe der Verwüstung ,
21609,#a335ee,Vek´nilashs Gürtel der Regeneration ,
20926,#a335ee,Vek´nilashs Reif ,
21691,#a335ee,Verschlammte Stulpen ,
21685,#a335ee,Versteinerter Skarabäus ,
21602,#a335ee,Vollstreckungsarmschienen der Qiraji ,
21617,#a335ee,Wespenhautstulpen ,
21680,#a335ee,Weste der zügigen Vollstreckung ,
21635,#a335ee,Widerhaken des Sandhäschers ,
21610,#a335ee,Wurmschuppenblocker ,
21603,#a335ee,Zauberstab des Qirajiadels ,
21648,#a335ee,Zusammengesetzte Stiefel ,
21532,#a335ee,Zwangsarbeiterstiefel ,
